;;;STATUS OF FIXED PRICE PROJECTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Month report :;;;;;februar 2016;;Drilling : 2 533 NOK/hour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PM;;ADD new projects at end of list !;;;;;Maritime : 3 119 NOK/hour;;;;;;;;;;;;;;;;2016 INVOICING PLAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016 HOURS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Open;Petar;MPD;MODU;DGD Statoil Petroleum AS;220124901; 12001 DGD Statoil Petroleum AS ;;FCST/Prognose ;1.473;3,425 ;2,325 ;(1,833);;(1,833);1,591 ;46.5 %;;;;Variable invoice;FCST Invoices;0 ;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;2,325 ;2,325 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;0 ;2,325 ;2,325 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;MPD;MODU;;;(Variable);;ACTUAL;1.471;3,425 ;2,325 ;(1,832);(4);(1,836);1,588 ;46.4 %;100.2 %;3,425 ;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;MPD;MODU;;;;;Rest;;0 ;0 ;(1);4;3;3 ;;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;BOP;MODU;;0;0;;Rest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;BOP;MODU;;;;;BUDGET/Planlegging;1.901;4,800 ;2,525 ;(2,121);0;(2,121);2,679 ;55.8 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;BOP;MODU;Hyundai 2620 ;220129901; 13008 Hyundai 2620  ;;FCST/Prognose ;1.964;6,240 ;2,802 ;(2,517);(670);(3,187);3,053 ;48.9 %;;;;40-40-20;FCST Invoices;(0);1,248 ;;;;;1,248 ;;;;;;;;;;;;;;;;;;;;;;;;;ACTUAL & FCST;2,802 ;2,536 ;266 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0;3 ;2,802 ;2,536 ;3 ;1 ;2 ;40 ;180 ;40 ;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;BOP;MODU;;;;;ACTUAL;1.866;5,032 ;2,543 ;(2,310);(262);(2,573);2,460 ;48.9 %;80.7 %;4,992 ;80%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Var vs BUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Open;Petar;BOP;MODU;;;;;Rest;;1,208 ;260 ;(207);(408);(615);593 ;;;1,248 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;;Petar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
New 2013;2013;Open;Sacha;DP;MODU;;;;;BUDGET/Planlegging;1.640;820 ;500 ;(420);0;(420);400 ;48.8 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BUDGET;;;;;;;;;;0.0;;0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
